vuelo,direccion,horario_local,horario_real,horario_estimado,estado,origen_destino,aeropuerto_iata,ruta,aerolinea_codigo,aerolinea_nombre,aerolinea_color,puerta,sector,matricula,modelo_avion,fabricante,icao_type_code,icao24_hex,operador,fuentes,id_externo,confianza,_nota,asientos
1712,Arrival,2026-09-18T20:30,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-BYY,Embraer E190AR,Embraer,E190,e02659,,fids+fr24,d0f55bc4-fdf9-436a-885c-1bdbe2697034,real,histórico FR24,96
1713,Departure,2026-09-18T21:10,2026-09-18T21:45,,Programado,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,,,LV-FVN,Embraer E190AR,Embraer,E190,e0658e,,fids+fr24,b69e2aa8-edfd-4c0f-b7b7-74cb58b600e2,real,,96
882,Arrival,2026-09-19T00:12,,,Programado,Panamá (PTY),PTY,PTY → ROS,CM,Copa Airlines,#15349E,,,,Boeing 737-800,Boeing,B738,,,fids+fr24,8243295d-94c9-4c6d-b7d4-04685e1b3fad,historico,histórico FR24,160
836,Departure,2026-09-19T01:23,2026-09-19T01:23,,Programado,Panamá (PTY),PTY,ROS → PTY,CM,Copa Airlines,#15349E,,,,Boeing 737-800,Boeing,B738,,,fids+fr24,8030da12-69ee-4a4f-8ba0-21306bbf6d66,historico,histórico FR24,160
899,Arrival,2026-09-19T03:47,,,Programado,Panamá (PTY),PTY,PTY → ROS,CM,Copa Airlines,#15349E,,,,Boeing 737-800,Boeing,B738,,,fids+fr24,46058686-4043-4fe4-9320-c64bc30e3d5e,cache_modelo,modelo del cache,160
1979,Arrival,2026-09-19T03:50,,,Programado,Santa Cruz Viru Viru (VVI),VVI,VVI → ROS,AR,Aerolíneas Argentinas,#467FBC,,,,Boeing 737-800,Boeing,B738,,,fids,5ada93a8-a5e0-473b-966e-8f21d335c3b3,cache_modelo,modelo del cache,170
1079,Departure,2026-09-19T04:30,,,Programado,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,,,,Boeing 737-800,Boeing,B738,,,fids,a74b7025-b0a5-4467-a055-b82454f04194,cache_modelo,modelo del cache,170
897,Departure,2026-09-19T05:09,2026-09-19T05:09,,Programado,Panamá (PTY),PTY,ROS → PTY,CM,Copa Airlines,#15349E,,,,Boeing 737-800,Boeing,B738,,,fids+fr24,913f4746-6bc2-4e19-a30c-bf09048fb8be,historico,histórico FR24,160
1708,Arrival,2026-09-19T09:20,,,Programado,Ezeiza (EZE),EZE,EZE → ROS,AR,Aerolíneas Argentinas,#467FBC,,,,Embraer E190AR,Embraer,E190,,,fids+fr24,460029f1-fe96-4ebd-9b8b-e04d1af8eb9a,cache_modelo,modelo del cache,96
1709,Departure,2026-09-19T09:50,,,Programado,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,,,LV-CIH,Embraer E190AR,Embraer,E190,e03248,,fids+fr24,f6988730-bf23-4a46-930f-e6cacbc960e5,real,,96
1508,Arrival,2026-09-19T11:25,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-CMA,Embraer E190AR,Embraer,E190,e03341,,fids+fr24,04c5acea-ad64-41e2-bb18-769edef9ab14,real,,96
8170,Arrival,2026-09-19T11:40,,,Programado,São Paulo (GRU),GRU,GRU → ROS,LA,LATAM Airlines,#0B044E,,,PS-LHC,Airbus A320neo,Airbus,A20N,e49fc2,LATAM Airlines,fids+fr24,81478a26-e118-42d4-af0c-a195e3025973,real,,174
1508,Departure,2026-09-19T11:55,,,Programado,Salta (SLA),SLA,ROS → SLA,AR,Aerolíneas Argentinas,#467FBC,,,LV-CMA,Embraer E190AR,Embraer,E190,e03341,,fids+fr24,1f0839c9-c293-49e2-984f-761442eb0ad9,real,,96
8171,Departure,2026-09-19T12:40,2026-09-19T12:51,,Programado,São Paulo (GRU),GRU,ROS → GRU,LA,LATAM Airlines,#0B044E,,,PS-LHC,Airbus A320neo,Airbus,A20N,e49fc2,LATAM Airlines,fids+fr24,677011a7-1123-4add-b254-e7ec8210faaa,real,,174
1714,Arrival,2026-09-19T14:15,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-CEV,Embraer E190AR,Embraer,E190,e03156,,fids+fr24,051ca056-c836-4d5c-87e1-7467207258f8,real,,96
1715,Departure,2026-09-19T14:45,,,Programado,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,,,LV-CEV,Embraer E190AR,Embraer,E190,e03156,,fids+fr24,0067ab0a-cef0-4a3f-af24-d2deea0295cf,real,,96
661,Arrival,2026-09-19T16:30,,,Programado,Bariloche (BRC),BRC,BRC → ROS,O4,Andes Líneas Aéreas,#9A403A,,,,Boeing 737-700,Boeing,B737,,,fids+fr24,62593f70-53fc-457a-a0df-2ce5c63a6d05,historico,histórico FR24,149
662,Departure,2026-09-19T17:30,,,Programado,Bariloche (BRC),BRC,ROS → BRC,O4,Andes Líneas Aéreas,#9A403A,,,,Boeing 737-700,Boeing,B737,,,fids+fr24,80f186e4-1ceb-40c3-a54d-d21ff4dd1556,historico,histórico FR24,149
1080,Arrival,2026-09-19T18:50,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,,Boeing 737-800,Boeing,B738,,,fids,66e1ec1b-1922-413e-8da3-ca5d45b7f815,cache_modelo,modelo del cache,170
1509,Arrival,2026-09-19T19:30,,,Programado,Salta (SLA),SLA,SLA → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-GUC,Boeing 737-8SH,Boeing,B738,e07543,,fids+fr24,1ac11aa8-e892-44a0-b020-a78ca1434b10,real,histórico FR24,170
1980,Departure,2026-09-19T19:30,,,Programado,Santa Cruz Viru Viru (VVI),VVI,ROS → VVI,AR,Aerolíneas Argentinas,#467FBC,,,,Boeing 737-800,Boeing,B738,,,fids,4ace6771-53c7-4b20-8956-6baf93c22b9f,cache_modelo,modelo del cache,170
1509,Departure,2026-09-19T20:20,,,Programado,Ezeiza (EZE),EZE,ROS → EZE,AR,Aerolíneas Argentinas,#467FBC,,,LV-GUC,Boeing 737-8SH,Boeing,B738,e07543,,fids+fr24,944f1556-b032-4537-99b3-ffbbe85c0c1d,real,histórico FR24,170
